Group,Region,Area,Season,%,95% CI
Children 5?12 yrs,HHS Region 4,Florida,2012-13,44.3,(±7.1)
Children 5?12 yrs,HHS Region 4,Florida,2013-14,51.6,(±5.3)
Children 5?12 yrs,HHS Region 4,Georgia,2010-11,50,(±6.6)
Children 5?12 yrs,HHS Region 4,Georgia,2011-12,48.6,(±8.1)
Children 5?12 yrs,HHS Region 4,Georgia,2012-13,56.3,(±6.4)
Children 5?12 yrs,HHS Region 4,Georgia,2013-14,51.9,(±5.4)
Children 5?12 yrs,HHS Region 4,Kentucky,2010-11,53.5,(±10.9)‡‡
Children 5?12 yrs,HHS Region 4,Kentucky,2011-12,47,(±5.8)
Children 5?12 yrs,HHS Region 4,Kentucky,2012-13,58.3,(±6.1)
Children 5?12 yrs,HHS Region 4,Kentucky,2013-14,53.8,(±6.0)
Children 5?12 yrs,HHS Region 4,Mississippi,2010-11,47.2,(±18.0)‡‡
Children 5?12 yrs,HHS Region 4,Mississippi,2011-12,45.6,(±8.2)
Children 5?12 yrs,HHS Region 4,Mississippi,2012-13,48.1,(±6.7)
Children 5?12 yrs,HHS Region 4,Mississippi,2013-14,46,(±5.1)
Children 5?12 yrs,HHS Region 4,North Carolina,2010-11,55.8,(±7.8)
Children 5?12 yrs,HHS Region 4,North Carolina,2011-12,60.1,(±9.3)
Children 5?12 yrs,HHS Region 4,North Carolina,2012-13,58.7,(±5.6)
Children 5?12 yrs,HHS Region 4,North Carolina,2013-14,63.4,(±4.3)
Children 5?12 yrs,HHS Region 4,South Carolina,2010-11,51.7,(±9.9)
Children 5?12 yrs,HHS Region 4,South Carolina,2011-12,60.6,(±7.7)
Children 5?12 yrs,HHS Region 4,South Carolina,2012-13,58,(±6.0)
Children 5?12 yrs,HHS Region 4,South Carolina,2013-14,60.9,(±5.6)
Children 5?12 yrs,HHS Region 4,Tennessee,2010-11,52.9,(±8.9)
Children 5?12 yrs,HHS Region 4,Tennessee,2011-12,51.4,(±5.9)
Children 5?12 yrs,HHS Region 4,Tennessee,2012-13,57.5,(±6.3)
Children 5?12 yrs,HHS Region 4,Tennessee,2013-14,60.6,(±4.9)
Children 5?12 yrs,HHS Region 5,Illinois,2010-11,52.4,(±9.6)
Children 5?12 yrs,HHS Region 5,Illinois,2011-12,46,(±5.6)
Children 5?12 yrs,HHS Region 5,Illinois,2012-13,54,(±4.8)
Children 5?12 yrs,HHS Region 5,Illinois,2013-14,53.8,(±3.6)
Children 5?12 yrs,HHS Region 5,Indiana,2010-11,50.8,(±7.7)
Children 5?12 yrs,HHS Region 5,Indiana,2011-12,51.5,(±6.7)
Children 5?12 yrs,HHS Region 5,Indiana,2012-13,57.5,(±5.6)
Children 5?12 yrs,HHS Region 5,Indiana,2013-14,54.5,(±4.4)
Children 5?12 yrs,HHS Region 5,Michigan,2010-11,51.3,(±5.7)
Children 5?12 yrs,HHS Region 5,Michigan,2011-12,49.5,(±5.9)
Children 5?12 yrs,HHS Region 5,Michigan,2012-13,53.9,(±5.5)
Children 5?12 yrs,HHS Region 5,Michigan,2013-14,58.3,(±5.0)
Children 5?12 yrs,HHS Region 5,Minnesota,2010-11,64.4,(±6.7)
Children 5?12 yrs,HHS Region 5,Minnesota,2011-12,61,(±6.4)
Children 5?12 yrs,HHS Region 5,Minnesota,2012-13,61.4,(±6.4)
Children 5?12 yrs,HHS Region 5,Minnesota,2013-14,62.7,(±5.6)
Children 5?12 yrs,HHS Region 5,Ohio,2010-11,54.4,(±7.8)
Children 5?12 yrs,HHS Region 5,Ohio,2011-12,46.8,(±6.2)
Children 5?12 yrs,HHS Region 5,Ohio,2012-13,54.8,(±6.4)
Children 5?12 yrs,HHS Region 5,Ohio,2013-14,52.6,(±4.9)
Children 5?12 yrs,HHS Region 5,Wisconsin,2010-11,59.2,(±10.3)‡‡
Children 5?12 yrs,HHS Region 5,Wisconsin,2011-12,55.5,(±6.2)
Children 5?12 yrs,HHS Region 5,Wisconsin,2012-13,56.4,(±6.1)
Children 5?12 yrs,HHS Region 5,Wisconsin,2013-14,56.4,(±4.7)
Children 5?12 yrs,HHS Region 6,Arkansas,2010-11,66.6,(±10.6)‡‡
Children 5?12 yrs,HHS Region 6,Arkansas,2011-12,73.3,(±6.1)
Children 5?12 yrs,HHS Region 6,Arkansas,2012-13,68.7,(±5.3)
Children 5?12 yrs,HHS Region 6,Arkansas,2013-14,72.2,(±4.5)
Children 5?12 yrs,HHS Region 6,Louisiana,2010-11,48,(±8.0)
Children 5?12 yrs,HHS Region 6,Louisiana,2011-12,59.6,(±6.5)
Children 5?12 yrs,HHS Region 6,Louisiana,2012-13,56,(±6.4)
Children 5?12 yrs,HHS Region 6,Louisiana,2013-14,59.7,(±5.0)
Children 5?12 yrs,HHS Region 6,New Mexico,2010-11,59,(±11.7)‡‡
Children 5?12 yrs,HHS Region 6,New Mexico,2011-12,67.1,(±6.6)
Children 5?12 yrs,HHS Region 6,New Mexico,2012-13,70.5,(±6.4)
Children 5?12 yrs,HHS Region 6,New Mexico,2013-14,69.8,(±4.5)
Children 5?12 yrs,HHS Region 6,Oklahoma,2010-11,50.8,(±9.3)
Children 5?12 yrs,HHS Region 6,Oklahoma,2011-12,57.4,(±7.9)
Children 5?12 yrs,HHS Region 6,Oklahoma,2012-13,50.8,(±8.3)
Children 5?12 yrs,HHS Region 6,Oklahoma,2013-14,59.9,(±5.6)
Children 5?12 yrs,HHS Region 6,Texas,2010-11,51.4,(±5.9)
Children 5?12 yrs,HHS Region 6,Texas,2011-12,54.5,(±3.7)
Children 5?12 yrs,HHS Region 6,Texas,2012-13,59.3,(±5.3)
Children 5?12 yrs,HHS Region 6,Texas,2013-14,64.9,(±4.2)
Children 5?12 yrs,HHS Region 7,Iowa,2010-11,55.5,(±7.7)
Children 5?12 yrs,HHS Region 7,Iowa,2011-12,52,(±5.6)
Children 5?12 yrs,HHS Region 7,Iowa,2012-13,53.5,(±6.0)
Children 5?12 yrs,HHS Region 7,Iowa,2013-14,56.8,(±5.7)
Children 5?12 yrs,HHS Region 7,Kansas,2010-11,47.7,(±9.4)
Children 5?12 yrs,HHS Region 7,Kansas,2011-12,49.3,(±6.3)
Children 5?12 yrs,HHS Region 7,Kansas,2012-13,47.9,(±5.6)
Children 5?12 yrs,HHS Region 7,Kansas,2013-14,59.6,(±5.5)
Children 5?12 yrs,HHS Region 7,Missouri,2010-11,52.8,(±9.1)
Children 5?12 yrs,HHS Region 7,Missouri,2011-12,48.8,(±7.1)
Children 5?12 yrs,HHS Region 7,Missouri,2012-13,49.3,(±5.5)
Children 5?12 yrs,HHS Region 7,Missouri,2013-14,56.6,(±5.0)
Children 5?12 yrs,HHS Region 7,Nebraska,2010-11,48.7,(±10.9)‡‡
Children 5?12 yrs,HHS Region 7,Nebraska,2011-12,58,(±7.3)
Children 5?12 yrs,HHS Region 7,Nebraska,2012-13,61.8,(±6.5)
Children 5?12 yrs,HHS Region 7,Nebraska,2013-14,66.6,(±5.2)
Children 5?12 yrs,HHS Region 8,Colorado,2010-11,58.8,(±9.8)
Children 5?12 yrs,HHS Region 8,Colorado,2011-12,56,(±6.7)
Children 5?12 yrs,HHS Region 8,Colorado,2012-13,55.9,(±5.1)
Children 5?12 yrs,HHS Region 8,Colorado,2013-14,62.6,(±4.3)
Children 5?12 yrs,HHS Region 8,Montana,2010-11,34.9,(±10.3)‡‡
Children 5?12 yrs,HHS Region 8,Montana,2011-12,44.2,(±6.4)
Children 5?12 yrs,HHS Region 8,Montana,2012-13,48.4,(±6.1)
Children 5?12 yrs,HHS Region 8,Montana,2013-14,49.3,(±6.1)
Children 5?12 yrs,HHS Region 8,North Dakota,2010-11,60.4,(±10.1)‡‡
Children 5?12 yrs,HHS Region 8,North Dakota,2011-12,59.1,(±8.5)
Children 5?12 yrs,HHS Region 8,North Dakota,2012-13,62.7,(±7.4)
Children 5?12 yrs,HHS Region 8,North Dakota,2013-14,64.2,(±4.7)
Children 5?12 yrs,HHS Region 8,South Dakota,2010-11,46.4,(±13.5)‡‡
Children 5?12 yrs,HHS Region 8,South Dakota,2011-12,62.4,(±7.6)
Children 5?12 yrs,HHS Region 8,South Dakota,2012-13,78.4,(±11.0)‡‡
Children 5?12 yrs,HHS Region 8,South Dakota,2013-14,73.2,(±6.2)
Children 5?12 yrs,HHS Region 8,Utah,2010-11,56.5,(±9.7)
Children 5?12 yrs,HHS Region 8,Utah,2011-12,51,(±7.6)
Children 5?12 yrs,HHS Region 8,Utah,2012-13,52.6,(±6.5)
Children 5?12 yrs,HHS Region 8,Utah,2013-14,50.9,(±5.3)
Children 5?12 yrs,HHS Region 8,Wyoming,2010-11,54.8,(±17.9)‡‡
Children 5?12 yrs,HHS Region 8,Wyoming,2011-12,42,(±9.3)
Children 5?12 yrs,HHS Region 8,Wyoming,2012-13,48.6,(±8.7)
Children 5?12 yrs,HHS Region 8,Wyoming,2013-14,46.1,(±6.0)
Children 5?12 yrs,HHS Region 9,Arizona,2010-11,52.4,(±13.8)‡‡
Children 5?12 yrs,HHS Region 9,Arizona,2011-12,50,(±7.7)
Children 5?12 yrs,HHS Region 9,Arizona,2012-13,53.7,(±5.8)
Children 5?12 yrs,HHS Region 9,Arizona,2013-14,51,(±5.8)
Children 5?12 yrs,HHS Region 9,California,2010-11,53.3,(±5.6)
Children 5?12 yrs,HHS Region 9,California,2011-12,57.7,(±6.8)
Children 5?12 yrs,HHS Region 9,California,2012-13,58.3,(±5.9)
Children 5?12 yrs,HHS Region 9,California,2013-14,66.6,(±6.2)
Children 5?12 yrs,HHS Region 9,Hawaii,2010-11,70.2,(±17.5)‡‡
Children 5?12 yrs,HHS Region 9,Hawaii,2011-12,76.3,(±6.7)
Children 5?12 yrs,HHS Region 9,Hawaii,2012-13,77.9,(±9.2)
Children 5?12 yrs,HHS Region 9,Hawaii,2013-14,75.9,(±5.4)
Children 5?12 yrs,HHS Region 9,Nevada,2010-11,58.9,(±13.6)‡‡
Children 5?12 yrs,HHS Region 9,Nevada,2011-12,50.2,(±10.1)‡‡
Children 5?12 yrs,HHS Region 9,Nevada,2012-13,52.9,(±5.8)
Children 5?12 yrs,HHS Region 9,Nevada,2013-14,51.1,(±4.7)
Children 5?12 yrs,HHS Region 10,Alaska,2010-11,44,(±10.2)‡‡
Children 5?12 yrs,HHS Region 10,Alaska,2011-12,40.8,(±7.5)
Children 5?12 yrs,HHS Region 10,Alaska,2012-13,46.9,(±6.4)
Children 5?12 yrs,HHS Region 10,Alaska,2013-14,54.3,(±5.3)
Children 5?12 yrs,HHS Region 10,Idaho,2010-11,39.8,(±10.3)‡‡
Children 5?12 yrs,HHS Region 10,Idaho,2011-12,40.5,(±5.9)
Children 5?12 yrs,HHS Region 10,Idaho,2012-13,42.7,(±5.9)
Children 5?12 yrs,HHS Region 10,Idaho,2013-14,46.9,(±5.6)
Children 5?12 yrs,HHS Region 10,Oregon,2010-11,45.2,(±9.9)
Children 5?12 yrs,HHS Region 10,Oregon,2011-12,50.4,(±6.9)
Children 5?12 yrs,HHS Region 10,Oregon,2012-13,48.9,(±4.8)
Children 5?12 yrs,HHS Region 10,Oregon,2013-14,55.4,(±4.9)
Children 5?12 yrs,HHS Region 10,Washington,2010-11,51.3,(±7.7)
Children 5?12 yrs,HHS Region 10,Washington,2011-12,49.7,(±6.3)
Children 5?12 yrs,HHS Region 10,Washington,2012-13,57.1,(±6.1)
Children 5?12 yrs,HHS Region 10,Washington,2013-14,59.3,(±6.2)
