Group,Region,Area,Season,%,95% CI
Children 13?17 yrs,HHS Region 4,Mississippi,2012-13,35.5,(±8.8)
Children 13?17 yrs,HHS Region 4,Mississippi,2013-14,35.4,(±8.2)
Children 13?17 yrs,HHS Region 4,North Carolina,2010-11,30.3,(±5.7)
Children 13?17 yrs,HHS Region 4,North Carolina,2011-12,40.1,(±8.4)
Children 13?17 yrs,HHS Region 4,North Carolina,2012-13,49.7,(±7.6)
Children 13?17 yrs,HHS Region 4,North Carolina,2013-14,50.8,(±6.8)
Children 13?17 yrs,HHS Region 4,South Carolina,2010-11,36,(±9.1)
Children 13?17 yrs,HHS Region 4,South Carolina,2011-12,22.6,(±7.9)
Children 13?17 yrs,HHS Region 4,South Carolina,2012-13,37.2,(±7.7)
Children 13?17 yrs,HHS Region 4,South Carolina,2013-14,43,(±6.4)
Children 13?17 yrs,HHS Region 4,Tennessee,2010-11,36.4,(±10.7)‡‡
Children 13?17 yrs,HHS Region 4,Tennessee,2011-12,43.4,(±12.8)‡‡
Children 13?17 yrs,HHS Region 4,Tennessee,2012-13,43.4,(±7.9)
Children 13?17 yrs,HHS Region 4,Tennessee,2013-14,51.8,(±7.5)
Children 13?17 yrs,HHS Region 5,Illinois,2010-11,31.5,(±6.1)
Children 13?17 yrs,HHS Region 5,Illinois,2011-12,28.1,(±5.9)
Children 13?17 yrs,HHS Region 5,Illinois,2012-13,36.9,(±6.2)
Children 13?17 yrs,HHS Region 5,Illinois,2013-14,43,(±4.7)
Children 13?17 yrs,HHS Region 5,Indiana,2010-11,28.7,(±5.5)
Children 13?17 yrs,HHS Region 5,Indiana,2011-12,27.9,(±6.9)
Children 13?17 yrs,HHS Region 5,Indiana,2012-13,40.2,(±6.7)
Children 13?17 yrs,HHS Region 5,Indiana,2013-14,34.2,(±7.7)
Children 13?17 yrs,HHS Region 5,Michigan,2010-11,35.2,(±8.6)
Children 13?17 yrs,HHS Region 5,Michigan,2011-12,29.3,(±6.4)
Children 13?17 yrs,HHS Region 5,Michigan,2012-13,38,(±7.2)
Children 13?17 yrs,HHS Region 5,Michigan,2013-14,40.9,(±8.2)
Children 13?17 yrs,HHS Region 5,Minnesota,2010-11,43.8,(±8.6)
Children 13?17 yrs,HHS Region 5,Minnesota,2011-12,24.2,(±6.4)
Children 13?17 yrs,HHS Region 5,Minnesota,2012-13,49.8,(±8.0)
Children 13?17 yrs,HHS Region 5,Minnesota,2013-14,54.4,(±7.1)
Children 13?17 yrs,HHS Region 5,Ohio,2010-11,34.4,(±6.7)
Children 13?17 yrs,HHS Region 5,Ohio,2011-12,38.2,(±10.0)
Children 13?17 yrs,HHS Region 5,Ohio,2012-13,42.2,(±7.7)
Children 13?17 yrs,HHS Region 5,Ohio,2013-14,45,(±6.4)
Children 13?17 yrs,HHS Region 5,Wisconsin,2010-11,41.4,(±7.4)
Children 13?17 yrs,HHS Region 5,Wisconsin,2011-12,29.3,(±7.1)
Children 13?17 yrs,HHS Region 5,Wisconsin,2012-13,40.7,(±7.0)
Children 13?17 yrs,HHS Region 5,Wisconsin,2013-14,47.9,(±8.3)
Children 13?17 yrs,HHS Region 6,Arkansas,2010-11,36.7,(±9.4)
Children 13?17 yrs,HHS Region 6,Arkansas,2011-12,47.2,(±10.5)‡‡
Children 13?17 yrs,HHS Region 6,Arkansas,2012-13,52.8,(±9.9)
Children 13?17 yrs,HHS Region 6,Arkansas,2013-14,63.6,(±7.7)
Children 13?17 yrs,HHS Region 6,Louisiana,2010-11,41.1,(±10.4)‡‡
Children 13?17 yrs,HHS Region 6,Louisiana,2011-12,42.2,(±10.0)
Children 13?17 yrs,HHS Region 6,Louisiana,2012-13,48.6,(±8.2)
Children 13?17 yrs,HHS Region 6,Louisiana,2013-14,46,(±7.7)
Children 13?17 yrs,HHS Region 6,New Mexico,2010-11,46.5,(±10.5)‡‡
Children 13?17 yrs,HHS Region 6,New Mexico,2011-12,42.5,(±8.9)
Children 13?17 yrs,HHS Region 6,New Mexico,2012-13,52.6,(±8.2)
Children 13?17 yrs,HHS Region 6,New Mexico,2013-14,55.7,(±7.7)
Children 13?17 yrs,HHS Region 6,Oklahoma,2010-11,35.3,(±9.9)
Children 13?17 yrs,HHS Region 6,Oklahoma,2011-12,38.2,(±9.7)
Children 13?17 yrs,HHS Region 6,Oklahoma,2012-13,36,(±7.4)
Children 13?17 yrs,HHS Region 6,Oklahoma,2013-14,39.5,(±8.2)
Children 13?17 yrs,HHS Region 6,Texas,2010-11,28,(±4.3)
Children 13?17 yrs,HHS Region 6,Texas,2011-12,34.5,(±4.4)
Children 13?17 yrs,HHS Region 6,Texas,2012-13,40.4,(±7.4)
Children 13?17 yrs,HHS Region 6,Texas,2013-14,46.6,(±5.4)
Children 13?17 yrs,HHS Region 7,Iowa,2010-11,30.4,(±7.3)
Children 13?17 yrs,HHS Region 7,Iowa,2011-12,27.5,(±6.0)
Children 13?17 yrs,HHS Region 7,Iowa,2012-13,41.1,(±6.9)
Children 13?17 yrs,HHS Region 7,Iowa,2013-14,40.6,(±7.2)
Children 13?17 yrs,HHS Region 7,Kansas,2010-11,28.6,(±6.6)
Children 13?17 yrs,HHS Region 7,Kansas,2011-12,30.4,(±8.8)
Children 13?17 yrs,HHS Region 7,Kansas,2012-13,31.7,(±6.0)
Children 13?17 yrs,HHS Region 7,Kansas,2013-14,40.3,(±6.7)
Children 13?17 yrs,HHS Region 7,Missouri,2010-11,35,(±7.1)
Children 13?17 yrs,HHS Region 7,Missouri,2011-12,22.3,(±6.2)
Children 13?17 yrs,HHS Region 7,Missouri,2012-13,41.3,(±7.7)
Children 13?17 yrs,HHS Region 7,Missouri,2013-14,41.4,(±7.0)
Children 13?17 yrs,HHS Region 7,Nebraska,2010-11,40.3,(±8.1)
Children 13?17 yrs,HHS Region 7,Nebraska,2011-12,28,(±6.3)
Children 13?17 yrs,HHS Region 7,Nebraska,2012-13,45.5,(±8.6)
Children 13?17 yrs,HHS Region 7,Nebraska,2013-14,41.3,(±8.3)
Children 13?17 yrs,HHS Region 8,Colorado,2010-11,42.8,(±7.6)
Children 13?17 yrs,HHS Region 8,Colorado,2011-12,32.8,(±8.2)
Children 13?17 yrs,HHS Region 8,Colorado,2012-13,46,(±7.7)
Children 13?17 yrs,HHS Region 8,Colorado,2013-14,49.4,(±7.1)
Children 13?17 yrs,HHS Region 8,Montana,2010-11,27.3,(±11.3)‡‡
Children 13?17 yrs,HHS Region 8,Montana,2011-12,27.5,(±6.1)
Children 13?17 yrs,HHS Region 8,Montana,2012-13,25.9,(±6.8)
Children 13?17 yrs,HHS Region 8,Montana,2013-14,35.1,(±6.8)
Children 13?17 yrs,HHS Region 8,North Dakota,2010-11,33.8,(±11.9)‡‡
Children 13?17 yrs,HHS Region 8,North Dakota,2011-12,32.6,(±7.5)
Children 13?17 yrs,HHS Region 8,North Dakota,2012-13,49.6,(±9.6)
Children 13?17 yrs,HHS Region 8,North Dakota,2013-14,55.8,(±12.7)‡‡
Children 13?17 yrs,HHS Region 8,South Dakota,2010-11,41.8,(±11.3)‡‡
Children 13?17 yrs,HHS Region 8,South Dakota,2011-12,42.2,(±7.5)
Children 13?17 yrs,HHS Region 8,South Dakota,2012-13,57.3,(±9.4)
Children 13?17 yrs,HHS Region 8,South Dakota,2013-14,62.4,(±6.9)
Children 13?17 yrs,HHS Region 8,Utah,2010-11,30.8,(±6.9)
Children 13?17 yrs,HHS Region 8,Utah,2011-12,27.2,(±9.2)
Children 13?17 yrs,HHS Region 8,Utah,2012-13,30.7,(±6.6)
Children 13?17 yrs,HHS Region 8,Utah,2013-14,36.3,(±6.8)
Children 13?17 yrs,HHS Region 8,Wyoming,2010-11,37.7,(±15.3)‡‡
Children 13?17 yrs,HHS Region 8,Wyoming,2011-12,32,(±10.8)‡‡
Children 13?17 yrs,HHS Region 8,Wyoming,2012-13,31.5,(±8.6)
Children 13?17 yrs,HHS Region 8,Wyoming,2013-14,32,(±7.7)
Children 13?17 yrs,HHS Region 9,Arizona,2010-11,30.8,(±6.9)
Children 13?17 yrs,HHS Region 9,Arizona,2011-12,22.8,(±6.0)
Children 13?17 yrs,HHS Region 9,Arizona,2012-13,30.1,(±6.1)
Children 13?17 yrs,HHS Region 9,Arizona,2013-14,36.3,(±7.2)
Children 13?17 yrs,HHS Region 9,California,2010-11,34.7,(±5.9)
Children 13?17 yrs,HHS Region 9,California,2011-12,38.5,(±7.7)
Children 13?17 yrs,HHS Region 9,California,2012-13,41.5,(±6.7)
Children 13?17 yrs,HHS Region 9,California,2013-14,51.3,(±7.6)
Children 13?17 yrs,HHS Region 9,Hawaii,2010-11,53.9,(±10.0)
Children 13?17 yrs,HHS Region 9,Hawaii,2011-12,44.9,(±11.7)‡‡
Children 13?17 yrs,HHS Region 9,Hawaii,2012-13,61.6,(±10.8)‡‡
Children 13?17 yrs,HHS Region 9,Hawaii,2013-14,60.5,(±8.8)
Children 13?17 yrs,HHS Region 9,Nevada,2010-11,32.7,(±9.9)
Children 13?17 yrs,HHS Region 9,Nevada,2011-12,21.1,(±7.9)
Children 13?17 yrs,HHS Region 9,Nevada,2012-13,35.2,(±8.1)
Children 13?17 yrs,HHS Region 9,Nevada,2013-14,38,(±8.0)
Children 13?17 yrs,HHS Region 10,Alaska,2010-11,33.1,(±15.1)‡‡
Children 13?17 yrs,HHS Region 10,Alaska,2011-12,28.5,(±7.6)
Children 13?17 yrs,HHS Region 10,Alaska,2012-13,32.9,(±6.6)
Children 13?17 yrs,HHS Region 10,Alaska,2013-14,36.3,(±7.5)
Children 13?17 yrs,HHS Region 10,Idaho,2010-11,33.9,(±10.0)
Children 13?17 yrs,HHS Region 10,Idaho,2011-12,22.6,(±7.4)
Children 13?17 yrs,HHS Region 10,Idaho,2012-13,32.1,(±8.1)
Children 13?17 yrs,HHS Region 10,Idaho,2013-14,33.6,(±8.0)
Children 13?17 yrs,HHS Region 10,Oregon,2010-11,26.8,(±8.5)
Children 13?17 yrs,HHS Region 10,Oregon,2011-12,22.5,(±6.8)
Children 13?17 yrs,HHS Region 10,Oregon,2012-13,40.2,(±7.8)
Children 13?17 yrs,HHS Region 10,Oregon,2013-14,42.8,(±8.0)
Children 13?17 yrs,HHS Region 10,Washington,2010-11,34.8,(±13.9)‡‡
Children 13?17 yrs,HHS Region 10,Washington,2011-12,26.7,(±5.9)
Children 13?17 yrs,HHS Region 10,Washington,2012-13,42.8,(±7.7)
Children 13?17 yrs,HHS Region 10,Washington,2013-14,44.6,(±7.0)
